episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
13,INFY.NS,1.6879,10819.24,8.19,109,0.5229,0.0972,0.2803,False,False
14,ADANIPORTS.NS,-17.0298,9201.24,-7.99,101,0.5446,0.2647,0.28,False,False
15,INFY.NS,-2.0061,10390.72,3.91,115,0.5565,0.1175,0.2797,False,False
16,ZEEL.NS,-98.8,6981.54,-30.18,108,0.5093,0.3838,0.2794,False,False
17,ICICIBANK.NS,-3.3499,9840.07,-1.6,114,0.5351,0.2431,0.2791,False,False
18,ICICIBANK.NS,-1.0973,11042.22,10.42,109,0.5229,0.1495,0.2789,False,False
19,ADANIPORTS.NS,-4.4577,10179.87,1.8,101,0.505,0.2027,0.2786,False,False
20,ADANIPORTS.NS,-2.3383,10018.52,0.19,107,0.5047,0.1745,0.2783,False,False
21,YESBANK.NS,-129.3017,8165.79,-18.34,116,0.5,0.4819,0.278,False,False
22,YESBANK.NS,-73.6373,5832.35,-41.68,61,0.459,0.4555,0.2778,False,True
23,LT.NS,-7.64,8899.41,-11.01,106,0.5377,0.2205,0.2775,False,False
24,HINDUNILVR.NS,-5.6433,9401.48,-5.99,103,0.5437,0.1798,0.2772,False,False
25,HINDUNILVR.NS,-2.4764,9792.81,-2.07,114,0.4737,0.0851,0.2769,False,False
26,INFY.NS,-30.6475,8282.43,-17.18,111,0.5045,0.2727,0.2766,False,False
27,RELIANCE.NS,9.3066,13975.28,39.75,116,0.5517,0.1316,0.2764,False,False
28,ZEEL.NS,-83.8212,7963.95,-20.36,106,0.4528,0.4715,0.2761,False,False
29,RELIANCE.NS,5.0463,12058.73,20.59,110,0.5636,0.1042,0.2758,False,False
30,YESBANK.NS,-9.4923,6047.47,-39.53,65,0.5538,0.6559,0.2755,False,True
1,ZEEL.NS,-107.3617,5765.73,-42.34,68,0.3824,0.4242,0.2753,False,True
2,HINDUNILVR.NS,-3.4881,9759.0,-2.41,118,0.5339,0.1834,0.275,False,False
1,LT.NS,14.7502,16954.24,69.54,117,0.5812,0.189,0.2753,False,False
2,ICICIBANK.NS,-271.3749,7545.35,-24.55,113,0.4336,0.3388,0.275,False,False
1,LT.NS,6.3174,11262.64,12.63,119,0.521,0.1395,0.2753,False,False
1,ITC.NS,-39.8503,11299.3,12.99,114,0.4825,0.2357,0.2753,False,False
1,HINDUNILVR.NS,0.189,9121.94,-8.78,115,0.4957,0.1496,0.275,False,False
2,ADANIPORTS.NS,23.698,17702.25,77.02,116,0.5431,0.1022,0.2747,False,False
3,TCS.NS,22.3215,15423.73,54.24,125,0.584,0.0955,0.2744,False,False
4,RELIANCE.NS,7.675,11838.41,18.38,120,0.5583,0.1266,0.2742,False,False
5,TCS.NS,0.7129,10355.05,3.55,118,0.5169,0.1017,0.2739,False,False
1,TCS.NS,-378.5284,6478.66,-35.21,125,0.504,0.3684,0.2736,False,True
2,TCS.NS,7.4266,12778.54,27.79,120,0.6167,0.1986,0.2733,False,False
3,ICICIBANK.NS,7.1813,12109.95,21.1,119,0.5714,0.1927,0.2731,False,False
4,INFY.NS,-0.2968,8705.42,-12.95,118,0.5085,0.1753,0.2728,False,False
5,RELIANCE.NS,-66.8121,7704.57,-22.95,119,0.5126,0.3079,0.2725,False,False
1,HINDUNILVR.NS,2.7798,10928.46,9.28,113,0.4779,0.1558,0.2723,False,False
2,HINDUNILVR.NS,-1.6961,8666.99,-13.33,130,0.5,0.1333,0.272,False,False
3,INFY.NS,8.3411,13916.16,39.16,113,0.5752,0.1439,0.2717,False,False
4,HINDUNILVR.NS,2.5763,11037.48,10.37,115,0.487,0.1518,0.2714,False,False
5,TCS.NS,4.5194,11975.42,19.75,118,0.5508,0.1394,0.2712,False,False
1,ICICIBANK.NS,25.3978,16162.86,61.63,109,0.5321,0.1487,0.2709,False,False
2,ICICIBANK.NS,3.5173,11166.83,11.67,111,0.5495,0.2142,0.2706,False,False
3,ICICIBANK.NS,-234.3297,9013.24,-9.87,111,0.4775,0.3237,0.2704,False,False
4,ADANIPORTS.NS,-16.7188,9040.86,-9.59,109,0.4587,0.1873,0.2701,False,False
5,LT.NS,20.6997,15773.17,57.73,100,0.55,0.0662,0.2698,False,False
1,INFY.NS,-24.9783,8790.98,-12.09,118,0.4661,0.2735,0.2695,False,False
2,HINDUNILVR.NS,-0.412,9199.07,-8.01,99,0.4646,0.1289,0.2693,False,False
3,ICICIBANK.NS,4.7994,11542.36,15.42,107,0.5327,0.1321,0.269,False,False
4,RELIANCE.NS,5.3381,11647.38,16.47,100,0.53,0.1611,0.2687,False,False
5,LT.NS,-179.0074,8782.49,-12.18,109,0.5413,0.2965,0.2685,False,False
1,ITC.NS,-18.1273,10334.16,3.34,118,0.4407,0.2117,0.2682,False,False
2,HINDUNILVR.NS,1.7998,9851.03,-1.49,113,0.5664,0.1337,0.2679,False,False
3,RELIANCE.NS,0.861,9925.41,-0.75,92,0.4891,0.1468,0.2677,False,False
4,ICICIBANK.NS,3.2359,11273.6,12.74,109,0.5046,0.1973,0.2674,False,False
5,ADANIPORTS.NS,-5.0249,9455.99,-5.44,97,0.5052,0.2666,0.2671,False,False
1,INFY.NS,5.3413,11293.01,12.93,107,0.5888,0.1782,0.2669,False,False
2,ADANIPORTS.NS,-409.8459,6483.39,-35.17,102,0.4706,0.3517,0.2666,False,True
