episode,ticker,friction_mode,total_reward,final_balance,growth_pct,benchmark_pct,alpha_vs_bh_pct,sharpe,sortino,num_trades,win_rate,max_drawdown,avg_dir_mean,std,new_best,is_bankrupt
1,XBI,low,-7.2862,9992.15,-0.08,-3.34,3.26,-4.7676,-3.16,46,0.413,0.0014,0.0281,0.2035,False,False,False
1,NVDA,low,-3.4711,9968.11,-0.32,12.44,-12.76,-4.6784,-2.7148,23,0.3913,0.0046,0.0349,0.2035,False,False,True
2,XBI,low,-16.6151,10017.97,0.18,-5.66,5.84,5.2803,7.4091,31,0.3871,0.0022,0.0343,0.2015,False,False,True
1,AAPL,low,-13.6489,9993.9,-0.06,2.23,-2.29,-1.5046,-1.2687,28,0.4643,0.0026,0.0359,0.1995,False,False,True
1,XBI,low,-27.1772,9970.54,-0.29,-2.5,2.21,-8.1463,-6.6186,29,0.3448,0.0041,0.0316,0.1995,False,False,True
2,SPY,low,-7.1835,9993.38,-0.07,-0.17,0.1,-6.4293,-5.3039,29,0.3448,0.0008,0.0287,0.1975,False,False,True
3,XBI,low,-17.3748,9977.08,-0.23,3.97,-4.2,-6.6799,-5.2469,33,0.303,0.0027,0.0303,0.1955,False,False,True
4,GLD,low,7.5997,10019.31,0.19,-0.94,1.13,4.3369,5.1791,29,0.5517,0.0015,0.0277,0.1936,False,False,False
5,NVDA,low,-15.3609,10000.99,0.01,9.81,-9.8,0.1892,0.2101,28,0.4286,0.0025,0.0312,0.1916,False,False,True
1,IWM,low,-1.6216,9995.21,-0.05,3.85,-3.9,-2.9338,-2.6823,31,0.4516,0.001,0.0294,0.1897,False,False,True
2,AAPL,low,14.1335,10009.74,0.1,0.88,-0.78,3.3395,2.9443,29,0.5517,0.0013,0.029,0.1878,False,False,False
3,IWM,low,-8.5556,9995.39,-0.05,-0.94,0.89,-2.4469,-2.0888,31,0.4839,0.0017,0.0345,0.186,False,False,False
4,SPY,low,-12.0236,9994.1,-0.06,1.08,-1.14,-4.9872,-4.2982,29,0.4138,0.0008,0.0328,0.1841,False,False,True
5,SPY,low,-3.3891,9993.13,-0.07,-3.55,3.48,-4.5304,-4.656,29,0.4483,0.0007,0.0308,0.1823,False,False,False
1,XLE,low,8.1414,9990.07,-0.1,-2.23,2.13,-2.9087,-2.1108,29,0.6207,0.0038,0.0223,0.1805,False,False,False
2,IWM,low,-5.3298,9998.02,-0.02,-10.05,10.03,-0.2976,-0.2683,30,0.5333,0.0031,0.0261,0.1787,False,False,False
3,IWM,low,14.5918,10014.42,0.14,7.37,-7.23,2.5932,2.073,29,0.5172,0.0023,0.0246,0.1769,False,False,True
4,XBI,low,-24.8561,9986.35,-0.14,-4.67,4.53,-3.1804,-2.267,26,0.5385,0.0024,0.0231,0.1751,False,False,True
5,XBI,low,7.1945,9980.33,-0.2,-16.23,16.03,-2.4903,-1.9677,26,0.4615,0.0058,0.0231,0.1734,False,False,False
1,NVDA,low,26.9758,10090.15,0.9,9.44,-8.54,10.6277,9.754,24,0.7083,0.0032,0.0262,0.1716,True,False,False
2,GLD,low,-13.5711,9994.52,-0.05,0.07,-0.12,-3.5812,-2.282,28,0.5,0.001,0.0224,0.1699,False,False,False
3,XBI,low,3.2793,10034.25,0.34,2.36,-2.02,4.2547,4.3807,27,0.5926,0.0035,0.0232,0.1682,False,False,True
4,SPY,low,-23.0144,9978.74,-0.21,1.45,-1.66,-4.5855,-4.5148,27,0.4444,0.0027,0.0214,0.1666,False,False,True
5,GLD,low,-31.9684,9983.81,-0.16,-2.26,2.1,-10.726,-6.3394,29,0.3793,0.0017,0.0236,0.1649,False,False,True
1,AAPL,low,-19.0908,9984.62,-0.15,2.45,-2.6,-7.8874,-6.4465,24,0.1667,0.0022,0.0223,0.1632,False,False,False
2,NVDA,low,6.884,9998.32,-0.02,18.61,-18.63,-0.327,-0.232,18,0.3889,0.0033,0.0256,0.1616,False,False,True
3,SPY,low,2.157,10039.61,0.4,6.45,-6.05,7.5489,8.8809,28,0.5357,0.0018,0.0254,0.16,False,False,True
4,GLD,low,-13.9567,9994.31,-0.06,3.48,-3.54,-5.1446,-4.3895,26,0.3462,0.0009,0.0243,0.1584,False,False,False
5,NVDA,low,-4.4994,9984.91,-0.15,9.35,-9.5,-6.4105,-5.8347,26,0.3846,0.0024,0.0239,0.1568,False,False,True
1,IWM,low,-1.0915,10018.83,0.19,-3.86,4.05,3.1029,3.6706,26,0.6154,0.0024,0.0267,0.156,False,False,False
1,GLD,low,-15.6193,9987.18,-0.13,-1.63,1.5,-10.4502,-8.3186,24,0.3333,0.0014,0.0261,0.1553,False,False,True
2,XBI,low,-2.7326,9988.13,-0.12,6.45,-6.57,-2.6148,-2.4123,25,0.48,0.0033,0.0209,0.1545,False,False,True
3,NVDA,low,-19.4735,9983.84,-0.16,12.79,-12.95,-3.4606,-2.3044,21,0.4762,0.0041,0.0205,0.1537,False,False,False
4,XLE,low,-5.4399,9993.44,-0.07,-1.35,1.28,-1.8747,-1.3448,26,0.4231,0.002,0.0211,0.1529,False,False,True
5,XBI,low,-1.5707,9987.9,-0.12,1.82,-1.94,-3.384,-2.3898,27,0.4815,0.0019,0.0174,0.1522,False,False,True
1,AAPL,low,-22.0615,9979.12,-0.21,-5.58,5.37,-6.6327,-4.7123,23,0.3043,0.003,0.0143,0.1514,False,False,True
2,NVDA,low,-8.4759,10023.05,0.23,-75.91,76.14,4.0169,4.0921,26,0.5,0.0019,0.0157,0.1507,False,False,True
3,XLE,low,-18.8432,9988.61,-0.11,14.59,-14.7,-2.9531,-2.6646,23,0.4783,0.0022,0.0152,0.2499,False,False,True
4,XBI,low,-18.6413,9993.03,-0.07,-6.76,6.69,-0.8283,-0.6762,34,0.5,0.0066,0.0101,0.2487,False,False,True
5,XLE,low,0.6046,10004.47,0.04,2.85,-2.81,0.807,0.8712,33,0.5758,0.0032,0.0118,0.2474,False,False,True
1,IWM,low,-7.4481,9987.24,-0.13,1.52,-1.65,-6.659,-5.6869,33,0.4848,0.0021,0.0093,0.2462,False,False,False
2,XBI,low,4.3258,10021.21,0.21,-2.19,2.4,1.9276,1.6289,34,0.5,0.0037,0.0086,0.245,False,False,True
3,NVDA,low,-33.1932,9994.07,-0.06,12.83,-12.89,-0.9172,-1.0008,33,0.5152,0.0025,0.0112,0.2437,False,False,True
4,IWM,low,-6.8496,9990.69,-0.09,-4.48,4.39,-3.889,-4.145,35,0.4286,0.0016,0.0072,0.2425,False,False,False
5,XBI,low,-0.1096,9964.67,-0.35,4.47,-4.82,-8.1248,-5.0866,27,0.4444,0.0057,0.0117,0.2413,False,False,True
1,SPY,low,-24.3299,9977.64,-0.22,-0.82,0.6,-8.834,-7.9942,33,0.3636,0.0024,0.0104,0.2401,False,False,True
2,SPY,low,-35.0863,9988.21,-0.12,3.64,-3.76,-6.3313,-6.0992,32,0.375,0.0013,0.0146,0.2389,False,False,False
3,XBI,low,8.6083,10029.01,0.29,-8.28,8.57,2.5634,2.8177,35,0.6286,0.0038,0.0161,0.2377,False,False,True
4,IWM,low,-21.7454,9982.06,-0.18,3.05,-3.23,-4.7049,-4.8238,33,0.4545,0.0028,0.0199,0.2365,False,False,False
5,AAPL,low,-35.9002,9983.05,-0.17,4.97,-5.14,-6.1407,-5.3312,34,0.2647,0.003,0.0167,0.2353,False,False,False
1,XBI,low,-25.6791,9986.13,-0.14,0.7,-0.84,-4.0082,-3.6278,33,0.4242,0.0037,0.0151,0.2341,False,False,False
2,XBI,low,-53.3758,9986.29,-0.14,-9.66,9.52,-5.8687,-4.9908,33,0.4848,0.0018,0.012,0.233,False,False,True
3,XLE,low,-0.4168,10003.09,0.03,8.13,-8.1,0.5451,0.5358,34,0.4412,0.0026,0.0155,0.2318,False,False,False
4,NVDA,low,-6.727,10032.95,0.33,13.5,-13.17,2.0439,2.3522,32,0.5312,0.0045,0.0145,0.2307,False,False,False
5,IWM,low,-8.4774,10035.57,0.36,-0.1,0.46,10.6044,13.0915,34,0.5882,0.0007,0.0135,0.2295,False,False,True
1,SPY,low,0.6063,9999.33,-0.01,-1.57,1.56,-0.4004,-0.3692,34,0.4412,0.0014,0.0173,0.2284,False,False,False
2,GLD,low,-28.1232,9983.09,-0.17,-1.54,1.37,-7.8435,-5.6871,33,0.4242,0.0018,0.0215,0.2272,False,False,False
3,AAPL,low,-45.7365,9981.72,-0.18,-76.89,76.71,-5.8125,-4.183,19,0.4211,0.002,0.016,0.2261,False,False,False
4,GLD,low,-0.4577,9985.28,-0.15,-3.48,3.33,-5.2136,-3.0654,33,0.4242,0.0019,0.0198,0.2249,False,False,False
5,XBI,low,-16.3875,9990.32,-0.1,0.14,-0.24,-4.0778,-3.4026,32,0.4062,0.0016,0.0192,0.2238,False,False,True
1,XBI,low,0.7109,10001.87,0.02,6.11,-6.09,0.3815,0.4241,33,0.5455,0.0022,0.0193,0.2227,False,False,True
2,AAPL,low,-8.259,9998.5,-0.02,1.21,-1.23,-0.266,-0.2936,31,0.4839,0.0028,0.0173,0.2216,False,False,False
3,XBI,low,0.3954,9974.56,-0.25,4.63,-4.88,-5.4075,-3.05,21,0.4762,0.0026,0.0184,0.2205,False,False,True
4,XLE,low,-5.3766,9997.03,-0.03,-2.87,2.84,-1.0661,-0.908,32,0.5625,0.0011,0.0184,0.2194,False,False,True
5,GLD,low,-10.6035,9995.09,-0.05,-1.91,1.86,-5.8676,-4.6704,34,0.2941,0.0006,0.0162,0.2183,False,False,False
1,GLD,low,-2.3477,9994.06,-0.06,-2.5,2.44,-3.5136,-2.7085,32,0.4375,0.001,0.0159,0.2172,False,False,False
2,XBI,low,-9.2441,9974.71,-0.25,-7.0,6.75,-5.3346,-4.4204,32,0.5,0.0026,0.017,0.2161,False,False,False
3,XBI,low,-38.9163,9985.01,-0.15,-8.95,8.8,-9.1092,-7.6439,33,0.4242,0.0017,0.0165,0.215,False,False,True
4,IWM,low,-7.1887,10030.16,0.3,4.99,-4.69,4.434,5.85,33,0.4848,0.0044,0.0159,0.2139,False,False,True
5,IWM,low,-46.1632,9986.1,-0.14,-3.32,3.18,-7.5502,-6.9906,32,0.2812,0.002,0.0168,0.2129,False,False,True
1,XBI,low,10.0031,10118.12,1.18,3.99,-2.81,13.994,19.5093,31,0.6452,0.0021,0.0168,0.2118,True,False,False
2,AAPL,low,-7.8008,10002.95,0.03,14.3,-14.27,0.3989,0.8221,31,0.4839,0.0035,0.0167,0.2108,False,False,True
3,IWM,low,5.7069,10020.47,0.2,0.44,-0.24,7.2646,8.2425,32,0.5312,0.0011,0.0124,0.2097,False,False,True
4,SPY,low,-14.079,9987.17,-0.13,-0.94,0.81,-3.4999,-2.8407,31,0.3871,0.0017,0.0134,0.2087,False,False,True
5,GLD,low,-23.0322,9995.05,-0.05,1.63,-1.68,-4.7611,-4.9646,32,0.375,0.0009,0.0106,0.2076,False,False,True
1,AAPL,low,-9.2607,10005.79,0.06,11.32,-11.26,1.6924,1.9472,33,0.4242,0.0026,0.0113,0.2066,False,False,False
2,IWM,low,1.0532,10081.21,0.81,8.03,-7.22,6.0448,17.4633,31,0.4839,0.0028,0.0116,0.2055,False,False,False
3,AAPL,low,-2.1263,9997.86,-0.02,2.35,-2.37,-0.471,-0.4006,29,0.4828,0.0015,0.0097,0.2045,False,False,False
4,GLD,low,-19.0058,9982.15,-0.18,2.91,-3.09,-6.3074,-3.984,30,0.4667,0.0024,0.0105,0.2035,False,False,False
5,AAPL,low,-24.6035,9979.56,-0.2,4.53,-4.73,-8.5346,-6.3781,26,0.5,0.0027,0.0138,0.2025,False,False,False
1,NVDA,low,-0.3654,9990.4,-0.1,10.17,-10.27,-3.2677,-3.1114,27,0.4074,0.0023,0.0125,0.2015,False,False,True
2,IWM,low,-4.1212,9992.43,-0.08,-0.13,0.05,-2.4945,-2.6176,30,0.3667,0.0018,0.0088,0.2004,False,False,True
3,XLE,low,5.3586,10023.26,0.23,3.67,-3.44,3.8044,5.2468,32,0.5,0.0024,0.0078,0.1994,False,False,False
4,NVDA,low,-2.1162,9969.66,-0.3,11.39,-11.69,-5.4474,-3.793,31,0.4839,0.0041,0.0073,0.1984,False,False,True
5,XLE,low,-8.636,9988.51,-0.11,-2.05,1.94,-3.579,-2.4222,30,0.6,0.0016,0.0069,0.1975,False,False,False
6,IWM,low,-12.0422,9972.77,-0.27,3.29,-3.56,-7.1578,-6.7535,30,0.4667,0.0033,0.0033,0.1965,False,False,False
7,SPY,low,-21.3936,9981.71,-0.18,-1.79,1.61,-13.1938,-10.8529,30,0.3667,0.0019,0.0062,0.1955,False,False,False
8,AAPL,low,-7.4688,10002.44,0.02,10.63,-10.61,0.5175,0.5522,32,0.5625,0.0031,0.0056,0.1945,False,False,False
9,XBI,low,2.0564,9999.48,-0.01,0.29,-0.3,-0.0775,-0.0637,31,0.5161,0.0035,0.0051,0.1935,False,False,True
10,GLD,low,-29.143,9991.81,-0.08,-2.23,2.15,-8.65,-7.6835,31,0.2903,0.001,0.0004,0.1926,False,False,True
11,SPY,low,-23.2578,9991.39,-0.09,3.07,-3.16,-7.2751,-5.4931,31,0.4194,0.0009,0.0015,0.1916,False,False,False
12,XBI,low,-18.7441,9974.72,-0.25,2.33,-2.58,-10.7462,-7.2655,30,0.3333,0.0026,0.0031,0.1906,False,False,True
13,XLE,low,7.064,10009.45,0.09,-4.3,4.39,2.0467,1.7011,30,0.5,0.0027,0.0062,0.1897,False,False,True
14,XBI,low,32.7939,10083.12,0.83,-5.57,6.4,8.4789,9.174,32,0.6562,0.0031,0.0044,0.1887,False,False,False
15,GLD,low,-15.7673,9997.87,-0.02,1.99,-2.01,-0.9768,-0.8563,31,0.4194,0.0015,0.0029,0.1878,False,False,True
1,AAPL,low,-18.7957,9980.53,-0.19,-3.12,2.93,-7.4112,-6.2563,31,0.3548,0.0023,0.0024,0.1869,False,False,True
2,IWM,low,-22.5051,9990.09,-0.1,0.15,-0.25,-6.9082,-6.942,29,0.3448,0.0011,0.0012,0.1859,False,False,True
3,IWM,low,-32.6418,9981.19,-0.19,4.7,-4.89,-10.3894,-8.5889,30,0.3667,0.0019,0.0002,0.185,False,False,False
4,NVDA,low,-18.0577,9893.68,-1.06,13.87,-14.93,-5.1674,-2.6985,28,0.5357,0.012,0.0016,0.1841,False,False,False
5,XBI,low,-18.1772,9985.83,-0.14,0.18,-0.32,-5.1263,-4.8687,29,0.4138,0.002,-0.0012,0.1832,False,False,True
6,XLE,low,-15.1933,9976.38,-0.24,8.69,-8.93,-4.6839,-4.6281,32,0.25,0.0038,-0.0022,0.1822,False,False,True
7,XLE,low,-16.8851,9994.16,-0.06,-6.74,6.68,-0.8078,-0.5927,29,0.4828,0.004,-0.0044,0.1813,False,False,True
8,IWM,low,-3.6869,10006.77,0.07,0.99,-0.92,1.482,1.5984,31,0.4839,0.0027,-0.005,0.1804,False,False,True
9,AAPL,low,-17.4339,9988.65,-0.11,2.66,-2.77,-4.3937,-4.2543,31,0.2903,0.0024,-0.0073,0.1795,False,False,False
10,NVDA,low,-1.5087,9993.61,-0.06,-20.37,20.31,-1.1064,-0.7852,22,0.4545,0.0027,-0.0073,0.1786,False,False,False
1,SPY,low,-20.0096,9989.14,-0.11,1.48,-1.59,-7.9258,-5.821,28,0.3929,0.0015,-0.0048,0.1777,False,False,True
2,AAPL,low,-15.3945,9976.38,-0.24,-1.04,0.8,-8.4487,-6.1903,30,0.3333,0.0026,-0.007,0.1768,False,False,True
3,NVDA,low,-6.6819,9991.97,-0.08,7.64,-7.72,-1.5789,-1.6463,26,0.3462,0.0044,-0.008,0.176,False,False,False
4,NVDA,low,-6.7888,9993.57,-0.06,-3.53,3.47,-1.5232,-1.3424,29,0.5517,0.0019,-0.0052,0.1751,False,False,True
5,NVDA,low,-49.7761,9978.37,-0.22,11.63,-11.85,-6.601,-4.9036,27,0.5185,0.0024,-0.0031,0.1742,False,False,True
6,GLD,low,-34.8832,9983.17,-0.17,-0.71,0.54,-15.125,-12.2802,28,0.3214,0.0017,-0.0059,0.1733,False,False,True
7,AAPL,low,-9.1755,9997.11,-0.03,5.06,-5.09,-1.0095,-0.9416,30,0.5,0.0016,-0.0078,0.1725,False,False,False
8,NVDA,low,-10.9536,9975.09,-0.25,-13.97,13.72,-3.1919,-2.9911,25,0.48,0.005,-0.0052,0.1716,False,False,True
9,XLE,low,1.6019,9991.93,-0.08,0.57,-0.65,-3.4084,-3.0328,27,0.4444,0.0016,-0.0053,0.1707,False,False,False
10,SPY,low,-17.5222,9993.07,-0.07,0.65,-0.72,-7.4753,-6.7898,27,0.2963,0.0008,-0.0055,0.1699,False,False,False
11,SPY,low,-14.2073,9988.67,-0.11,1.41,-1.52,-3.042,-2.8163,27,0.4444,0.0024,-0.0065,0.169,False,False,False
12,GLD,low,-0.8476,9996.11,-0.04,2.55,-2.59,-1.9202,-2.0176,25,0.36,0.0013,-0.0044,0.1682,False,False,True
13,IWM,low,-27.7106,9986.09,-0.14,2.49,-2.63,-7.1645,-5.906,26,0.3462,0.0021,-0.0024,0.1674,False,False,False
14,IWM,low,-3.5728,9984.61,-0.15,8.72,-8.87,-4.4129,-3.8991,29,0.4138,0.0027,-0.003,0.1665,False,False,True
15,XBI,low,-17.3203,9984.07,-0.16,-7.16,7.0,-6.452,-4.5981,26,0.4615,0.0019,-0.0036,0.1657,False,False,False
16,IWM,low,5.0337,10000.57,0.01,0.97,-0.96,0.1488,0.1289,26,0.6923,0.0021,-0.0039,0.1649,False,False,False
17,GLD,low,-0.1058,9987.86,-0.12,-1.66,1.54,-7.9816,-5.5029,29,0.5517,0.0015,-0.0051,0.164,False,False,True
18,XBI,low,-3.1551,9991.92,-0.08,-6.43,6.35,-1.5568,-0.9248,25,0.6,0.0026,-0.0047,0.1632,False,False,False
19,XBI,low,-33.0756,9988.9,-0.11,-7.23,7.12,-2.9981,-1.8893,28,0.5357,0.0019,-0.0052,0.1624,False,False,True
20,SPY,low,12.5532,10026.48,0.26,-1.24,1.5,4.2329,6.1931,24,0.5,0.0018,-0.0027,0.1616,False,False,True
21,SPY,low,-22.9258,9971.67,-0.28,-8.36,8.08,-9.5546,-7.5432,28,0.2857,0.0034,-0.0055,0.1608,False,False,False
22,SPY,low,2.1388,9995.25,-0.05,2.3,-2.35,-1.8046,-1.341,26,0.4615,0.0017,-0.0032,0.16,False,False,True
23,XLE,low,7.3312,10009.54,0.1,-10.67,10.77,1.54,1.8704,25,0.52,0.0023,-0.0039,0.1592,False,False,True
24,XBI,low,-3.6844,9987.92,-0.12,0.37,-0.49,-4.9801,-3.7947,24,0.3333,0.0023,-0.0036,0.1584,False,False,False
25,XLE,low,-26.4,9965.39,-0.35,2.83,-3.18,-11.014,-8.4671,26,0.3077,0.0046,-0.003,0.1576,False,False,True
26,SPY,low,-2.481,9998.39,-0.02,3.01,-3.03,-1.6629,-1.2617,27,0.4444,0.0007,-0.0033,0.1568,False,False,False
27,XBI,low,2.6885,9969.35,-0.31,-9.78,9.47,-6.4931,-3.8388,21,0.2857,0.0033,-0.0031,0.156,False,False,False
28,XLE,low,-16.7096,9990.73,-0.09,-2.66,2.57,-3.0721,-1.9692,26,0.4615,0.0017,-0.0017,0.1552,False,False,False
29,XBI,low,-10.7388,9982.84,-0.17,-0.64,0.47,-5.3309,-3.7458,25,0.4,0.0033,-0.0003,0.1545,False,False,True
30,GLD,low,-12.7033,9996.37,-0.04,-0.4,0.36,-1.8929,-2.3762,23,0.3043,0.0012,0.0005,0.1537,False,False,True
1,XLE,low,-5.3419,9991.55,-0.08,5.21,-5.29,-3.3175,-2.4208,23,0.4348,0.0015,-0.0008,0.1529,False,False,True
2,AAPL,low,3.7947,9989.91,-0.1,9.0,-9.1,-3.7072,-2.4351,24,0.5417,0.0015,-0.001,0.1522,False,False,False
3,IWM,low,1.7909,9986.52,-0.13,2.62,-2.75,-3.8893,-3.014,25,0.44,0.002,0.0025,0.1514,False,False,True
4,XBI,low,-6.3219,9987.92,-0.12,-3.07,2.95,-4.8281,-3.6279,24,0.3333,0.0028,0.0019,0.1506,False,False,False
5,XLE,low,-12.9451,9971.11,-0.29,-4.72,4.43,-7.2254,-4.6567,21,0.3333,0.0029,0.0023,0.2499,False,False,True
6,SPY,low,-26.3134,9982.25,-0.18,0.56,-0.74,-10.1731,-7.7848,35,0.4286,0.002,0.0018,0.2486,False,False,False
7,SPY,low,-29.0811,9959.57,-0.4,-3.52,3.12,-7.3234,-4.2431,33,0.3636,0.0046,-0.0014,0.2474,False,False,False
8,GLD,low,-31.4118,9975.96,-0.24,-2.81,2.57,-13.043,-9.5286,33,0.2727,0.0026,0.0048,0.2462,False,False,True
9,XLE,low,-15.8776,9971.07,-0.29,1.26,-1.55,-7.0508,-4.961,31,0.3871,0.0035,0.0067,0.2449,False,False,True
10,IWM,low,-3.4035,10003.69,0.04,-4.31,4.35,1.2463,1.058,33,0.5455,0.0013,0.0014,0.2437,False,False,True
11,SPY,low,-17.5373,9991.98,-0.08,-0.35,0.27,-3.0939,-2.7204,33,0.4848,0.0014,0.0043,0.2425,False,False,False
12,IWM,low,-19.6891,9988.89,-0.11,0.48,-0.59,-6.112,-6.2757,34,0.3529,0.0016,0.0066,0.2413,False,False,True
13,XLE,low,-13.9255,9974.82,-0.25,6.23,-6.48,-7.8202,-6.1887,31,0.4839,0.0031,0.0101,0.2401,False,False,False
14,XLE,low,5.9004,10040.34,0.4,0.29,0.11,7.6357,11.3945,34,0.5882,0.0018,0.005,0.2389,False,False,False
15,XLE,low,12.5862,10023.96,0.24,0.14,0.1,3.5172,2.778,33,0.6667,0.0036,0.0071,0.2377,False,False,False
16,NVDA,low,-1.6007,9971.12,-0.29,-22.15,21.86,-3.8321,-3.0591,30,0.4333,0.006,0.0102,0.2365,False,False,False
17,AAPL,low,-12.7986,9991.61,-0.08,10.57,-10.65,-3.4751,-2.7601,32,0.4375,0.0015,0.0052,0.2353,False,False,True
18,XLE,low,-4.178,10011.6,0.12,7.2,-7.08,1.9474,2.9331,34,0.5,0.0025,0.0022,0.2341,False,False,False
1,SPY,low,3.1251,9999.48,-0.01,3.72,-3.73,-0.6246,-0.6882,34,0.4412,0.0005,0.0064,0.2329,False,False,True
2,GLD,low,-44.34,9982.7,-0.17,5.13,-5.3,-9.222,-7.2552,33,0.3636,0.0021,0.0015,0.2318,False,False,True
3,XLE,low,-14.9764,9980.09,-0.2,-6.83,6.63,-7.5392,-6.1081,31,0.4516,0.0027,0.002,0.2306,False,False,False
4,IWM,low,-6.4309,10004.28,0.04,-1.77,1.81,1.0478,1.2098,34,0.4706,0.0014,-0.0031,0.2295,False,False,False
5,NVDA,low,-16.8244,9980.2,-0.2,-9.89,9.69,-4.8697,-3.101,20,0.4,0.0025,-0.0042,0.2283,False,False,False
6,IWM,low,-1.3729,10014.88,0.15,2.19,-2.04,2.6874,3.5206,34,0.5,0.0022,-0.0029,0.2272,False,False,False
7,XLE,low,-9.051,10021.36,0.21,0.41,-0.2,3.1308,4.934,33,0.4848,0.0019,0.0007,0.226,False,False,False
8,IWM,low,-32.8762,9992.73,-0.07,5.84,-5.91,-2.422,-2.4347,32,0.375,0.0018,0.0035,0.2249,False,False,True
9,IWM,low,-10.3022,9996.41,-0.04,5.58,-5.62,-1.9475,-1.9915,33,0.4848,0.0014,-0.0008,0.2238,False,False,True
10,NVDA,low,-7.6641,10021.82,0.22,11.09,-10.87,2.0434,2.16,32,0.375,0.0045,-0.001,0.2227,False,False,True
11,SPY,low,-25.7798,9983.54,-0.16,-4.68,4.52,-9.6581,-7.291,32,0.4375,0.0017,-0.0053,0.2216,False,False,True
12,NVDA,low,2.8319,10019.25,0.19,-6.71,6.9,3.0756,3.1342,32,0.5625,0.002,-0.0068,0.2204,False,False,False
13,GLD,low,-19.3039,9985.7,-0.14,1.2,-1.34,-11.4364,-8.3394,31,0.2581,0.0014,-0.0066,0.2193,False,False,False
14,SPY,low,-16.4719,9995.8,-0.04,2.78,-2.82,-4.4881,-3.3657,33,0.3939,0.0007,-0.0059,0.2182,False,False,True
15,GLD,low,17.7253,9996.48,-0.04,4.31,-4.35,-2.373,-1.7516,33,0.4545,0.001,-0.0055,0.2172,False,False,True
16,AAPL,low,6.3477,9994.76,-0.05,6.81,-6.86,-0.6012,-0.4272,31,0.5484,0.0044,-0.0062,0.2161,False,False,True
17,XLE,low,-11.3915,10008.18,0.08,2.21,-2.13,1.4263,1.4496,32,0.4688,0.0031,-0.0036,0.215,False,False,True
18,AAPL,low,-7.0394,10000.63,0.01,-1.51,1.52,0.1441,0.1569,32,0.4688,0.0025,0.0017,0.2139,False,False,False
1,XBI,low,-13.965,9996.92,-0.03,2.86,-2.89,-0.7035,-0.6856,33,0.4848,0.0021,-0.0016,0.2128,False,False,True
2,XBI,low,2.4097,9974.42,-0.26,13.81,-14.07,-3.7559,-2.2855,31,0.5806,0.0041,-0.0011,0.2118,False,False,False
3,XBI,low,-15.8104,9960.76,-0.39,13.04,-13.43,-6.8799,-5.0411,27,0.3333,0.0065,-0.0023,0.2107,False,False,False
4,SPY,low,-12.6138,9988.81,-0.11,-0.33,0.22,-4.1833,-3.371,31,0.3871,0.0024,-0.0014,0.2097,False,False,False
5,SPY,low,-12.0377,9986.3,-0.14,2.02,-2.16,-4.7418,-3.2523,33,0.4848,0.002,0.0006,0.2086,False,False,False
6,XBI,low,12.3961,10009.78,0.1,4.81,-4.71,1.6655,2.0663,33,0.4848,0.0026,0.0034,0.2076,False,False,True
7,SPY,low,-8.8881,9996.11,-0.04,-0.08,0.04,-3.6708,-3.2803,32,0.375,0.0005,0.003,0.2065,False,False,True
8,SPY,low,-11.2205,9990.03,-0.1,-0.22,0.12,-5.4786,-3.8732,33,0.3939,0.0012,0.0062,0.2055,False,False,True
9,XLE,low,-14.2626,9996.17,-0.04,3.8,-3.84,-1.1663,-1.0489,29,0.5172,0.0022,0.0089,0.2045,False,False,True
10,SPY,low,-7.8713,9992.62,-0.07,0.86,-0.93,-7.1973,-6.7632,32,0.3125,0.0009,0.008,0.2035,False,False,False
1,XLE,low,-5.6783,9983.27,-0.17,-1.17,1.0,-5.6562,-3.9081,31,0.4839,0.0034,0.0054,0.2024,False,False,False
2,XLE,low,-11.5259,9974.71,-0.25,-5.15,4.9,-7.4112,-5.7242,28,0.2857,0.0028,0.0062,0.2014,False,False,True
1,SPY,low,-1.2701,9996.98,-0.03,1.51,-1.54,-2.1059,-2.3688,32,0.5,0.001,0.0027,0.2004,False,False,False
