episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
5,ICICIBANK.NS,11.0052,11027.95,10.28,149,0.5772,0.0679,0.338,False,False
6,ITC.NS,4.8924,10131.65,1.32,142,0.507,0.042,0.3378,False,False
7,TCS.NS,1.4475,9802.07,-1.98,154,0.5519,0.0849,0.3376,False,False
8,ADANIPORTS.NS,-3.4756,9602.33,-3.98,149,0.4698,0.0572,0.3375,False,False
9,LT.NS,-2.9806,9478.65,-5.21,152,0.4605,0.0626,0.3373,False,False
10,RELIANCE.NS,0.7132,9709.28,-2.91,151,0.5166,0.0542,0.3371,False,False
1,ICICIBANK.NS,-1.9719,9554.95,-4.45,155,0.5226,0.055,0.337,False,False
2,TCS.NS,10.1993,10934.71,9.35,139,0.5827,0.0409,0.3368,False,False
3,TCS.NS,0.3051,9744.54,-2.55,150,0.5533,0.0374,0.3366,False,False
4,INFY.NS,3.6167,10055.34,0.55,140,0.5357,0.0623,0.3365,False,False
5,ADANIPORTS.NS,-1.48,9933.0,-0.67,140,0.5071,0.0508,0.3363,False,False
6,ADANIPORTS.NS,-1.263,9666.09,-3.34,148,0.5405,0.0528,0.3361,False,False
7,ADANIPORTS.NS,4.7786,10219.17,2.19,143,0.5175,0.0519,0.336,False,False
8,ITC.NS,3.3668,10246.99,2.47,141,0.5461,0.0396,0.3358,False,False
9,INFY.NS,3.379,10116.02,1.16,140,0.5571,0.0453,0.3356,False,False
10,RELIANCE.NS,1.6434,9951.79,-0.48,144,0.5625,0.0496,0.3355,False,False
1,ITC.NS,4.7207,10485.95,4.86,141,0.5745,0.0508,0.3353,False,False
2,ICICIBANK.NS,4.4028,10289.59,2.9,140,0.5857,0.0603,0.3351,False,False
3,ITC.NS,2.2765,10081.49,0.81,145,0.4621,0.0385,0.335,False,False
4,RELIANCE.NS,1.761,10032.85,0.33,136,0.5956,0.0513,0.3348,False,False
5,ICICIBANK.NS,6.8838,10985.0,9.85,138,0.5362,0.0298,0.3346,False,False
1,TCS.NS,1.202,10045.96,0.46,141,0.5248,0.0271,0.3345,False,False
2,RELIANCE.NS,0.9708,9709.85,-2.9,149,0.5503,0.063,0.3343,False,False
3,INFY.NS,3.0133,10077.06,0.77,139,0.5683,0.0536,0.3341,False,False
4,ICICIBANK.NS,-0.3209,9737.82,-2.62,138,0.529,0.0411,0.334,False,False
5,ITC.NS,-2.1752,9572.37,-4.28,137,0.4964,0.06,0.3338,False,False
