episode,ticker,net_worth,growth_pct,benchmark_pct,alpha_pct,sharpe,sortino,win_rate,trades,head_grad_norm,ext_grad_norm,fus_grad_norm,is_new_best
4,XLE,9943.29,-0.57,-0.51,-0.06,-4.422,-2.58,0.45,40,0.5,0.2144,0.5,False
5,AAPL,9981.43,-0.19,-2.87,2.68,-5.978,-5.674,0.35,40,0.4994,0.1297,0.5,False
5,ARKK,9966.99,-0.33,11.97,-12.3,-7.104,-5.989,0.425,40,0.4994,0.1297,0.5,False
5,GLD,9990.91,-0.09,-0.19,0.1,-3.692,-2.389,0.5,40,0.4994,0.1297,0.5,False
5,IWM,9955.35,-0.45,-3.1,2.65,-11.148,-8.957,0.225,40,0.4994,0.1297,0.5,False
5,KRE,10086.74,0.87,-3.57,4.44,3.843,4.123,0.561,41,0.4994,0.1297,0.5,False
5,NFLX,9951.12,-0.49,13.92,-14.41,-8.787,-6.507,0.537,41,0.4994,0.1297,0.5,False
5,NVDA,9974.26,-0.26,2.43,-2.69,-4.237,-3.537,0.293,41,0.4994,0.1297,0.5,False
5,PYPL,9984.43,-0.16,6.21,-6.37,-3.995,-3.469,0.425,40,0.4994,0.1297,0.5,False
5,QQQ,9991.15,-0.09,-4.52,4.43,-0.809,-0.857,0.45,40,0.4994,0.1297,0.5,False
5,SPY,9984.84,-0.15,4.51,-4.66,-6.098,-5.357,0.308,39,0.4994,0.1297,0.5,False
5,UNG,9818.04,-1.82,-36.37,34.55,-3.941,-2.185,0.455,44,0.4994,0.1297,0.5,False
5,USO,10208.54,2.09,9.11,-7.03,9.863,13.921,0.6,40,0.4994,0.1297,0.5,False
5,XBI,9978.96,-0.21,-0.85,0.64,-6.901,-5.547,0.4,40,0.4994,0.1297,0.5,False
5,XLE,9978.24,-0.22,12.73,-12.94,-2.744,-2.11,0.463,41,0.4994,0.1297,0.5,False
6,AAPL,9978.29,-0.22,5.79,-6.0,-3.761,-3.288,0.45,40,0.5,0.0668,0.5,True
6,ARKK,9964.73,-0.35,-7.78,7.42,-5.415,-4.41,0.415,41,0.5,0.0668,0.5,True
6,GLD,9998.37,-0.02,2.7,-2.72,-0.526,-0.969,0.41,39,0.5,0.0668,0.5,True
6,IWM,9976.43,-0.24,-3.01,2.78,-3.058,-2.732,0.425,40,0.5,0.0668,0.5,True
6,KRE,9973.93,-0.26,5.57,-5.83,-7.798,-5.456,0.425,40,0.5,0.0668,0.5,True
6,NFLX,10007.63,0.08,-8.91,8.98,0.615,0.552,0.359,39,0.5,0.0668,0.5,True
6,NVDA,10025.87,0.26,23.93,-23.67,1.138,0.952,0.6,40,0.5,0.0668,0.5,True
6,PYPL,10095.77,0.96,4.44,-3.48,5.004,4.861,0.561,41,0.5,0.0668,0.5,True
6,QQQ,9948.13,-0.52,-8.93,8.41,-10.666,-6.739,0.415,41,0.5,0.0668,0.5,True
6,SPY,9973.65,-0.26,3.34,-3.6,-6.567,-4.739,0.325,40,0.5,0.0668,0.5,True
6,UNG,10171.3,1.71,-10.9,12.62,3.689,4.228,0.439,41,0.5,0.0668,0.5,True
6,USO,9953.83,-0.46,-4.05,3.59,-1.872,-1.593,0.561,41,0.5,0.0668,0.5,True
6,XBI,9980.94,-0.19,0.68,-0.88,-1.65,-1.588,0.39,41,0.5,0.0668,0.5,True
6,XLE,10027.3,0.27,6.57,-6.29,6.039,6.629,0.5,40,0.5,0.0668,0.5,True
7,AAPL,10054.38,0.54,3.69,-3.15,3.207,3.603,0.55,40,0.4771,0.1022,0.5,False
7,ARKK,9971.89,-0.28,-13.16,12.88,-3.846,-3.808,0.452,42,0.4771,0.1022,0.5,False
7,GLD,9997.04,-0.03,-4.55,4.52,-1.024,-1.258,0.513,39,0.4771,0.1022,0.5,False
7,IWM,10000.63,0.01,5.9,-5.89,0.178,0.175,0.564,39,0.4771,0.1022,0.5,False
7,KRE,9983.68,-0.16,-1.88,1.72,-2.778,-2.044,0.475,40,0.4771,0.1022,0.5,False
7,NFLX,9971.73,-0.28,-11.38,11.1,-1.818,-1.642,0.463,41,0.4771,0.1022,0.5,False
7,NVDA,9916.37,-0.84,7.7,-8.54,-4.312,-4.309,0.476,42,0.4771,0.1022,0.5,False
7,PYPL,9973.68,-0.26,8.66,-8.93,-4.226,-3.848,0.415,41,0.4771,0.1022,0.5,False
7,QQQ,9999.93,-0.0,7.56,-7.56,0.009,0.01,0.45,40,0.4771,0.1022,0.5,False
7,SPY,10003.79,0.04,-1.62,1.66,0.336,0.297,0.55,40,0.4771,0.1022,0.5,False
7,UNG,10141.7,1.42,7.79,-6.38,3.897,4.64,0.561,41,0.4771,0.1022,0.5,False
7,USO,9974.31,-0.26,1.45,-1.71,-4.442,-2.963,0.5,40,0.4771,0.1022,0.5,False
7,XBI,9959.52,-0.4,7.03,-7.43,-2.538,-1.902,0.575,40,0.4771,0.1022,0.5,False
7,XLE,9980.09,-0.2,13.52,-13.72,-4.249,-4.216,0.359,39,0.4771,0.1022,0.5,False
8,AAPL,9987.6,-0.12,0.66,-0.79,-1.098,-1.049,0.463,41,0.4957,0.1213,0.5,False
8,ARKK,9980.13,-0.2,1.43,-1.63,-0.78,-0.596,0.575,40,0.4957,0.1213,0.5,False
8,GLD,9990.71,-0.09,1.06,-1.16,-7.086,-5.309,0.333,39,0.4957,0.1213,0.5,False
8,IWM,9993.72,-0.06,-6.73,6.67,-0.674,-0.715,0.6,40,0.4957,0.1213,0.5,False
8,KRE,9960.78,-0.39,-2.29,1.89,-10.536,-7.504,0.55,40,0.4957,0.1213,0.5,False
8,NFLX,9946.65,-0.53,0.13,-0.66,-6.413,-4.568,0.512,41,0.4957,0.1213,0.5,False
8,NVDA,10083.65,0.84,15.05,-14.21,5.845,7.689,0.475,40,0.4957,0.1213,0.5,False
8,PYPL,9990.1,-0.1,-11.17,11.07,-3.081,-2.441,0.525,40,0.4957,0.1213,0.5,False
8,QQQ,9986.04,-0.14,-1.34,1.2,-2.635,-1.952,0.359,39,0.4957,0.1213,0.5,False
8,SPY,10039.36,0.39,5.84,-5.45,7.908,10.752,0.5,40,0.4957,0.1213,0.5,False
8,UNG,9951.93,-0.48,-18.46,17.98,-2.541,-1.636,0.537,41,0.4957,0.1213,0.5,False
8,USO,9954.06,-0.46,-11.71,11.25,-1.411,-1.234,0.585,41,0.4957,0.1213,0.5,False
8,XBI,9978.25,-0.22,-6.8,6.58,-2.738,-2.335,0.4,40,0.4957,0.1213,0.5,False
8,XLE,9928.08,-0.72,12.25,-12.97,-3.048,-1.915,0.513,39,0.4957,0.1213,0.5,False
9,AAPL,10022.65,0.23,-0.28,0.51,3.058,3.045,0.6,40,0.448,0.2499,0.5,False
9,ARKK,9981.87,-0.18,12.09,-12.28,-0.653,-0.553,0.475,40,0.448,0.2499,0.5,False
9,GLD,9998.71,-0.01,1.29,-1.31,-0.475,-0.649,0.425,40,0.448,0.2499,0.5,False
9,IWM,9990.95,-0.09,-0.06,-0.03,-2.35,-2.15,0.45,40,0.448,0.2499,0.5,False
9,KRE,10059.67,0.6,3.25,-2.65,3.222,2.978,0.525,40,0.448,0.2499,0.5,False
9,NFLX,9898.11,-1.02,9.95,-10.97,-5.61,-4.593,0.45,40,0.448,0.2499,0.5,False
9,NVDA,10008.77,0.09,6.29,-6.2,0.536,0.461,0.45,40,0.448,0.2499,0.5,False
9,PYPL,9979.21,-0.21,-8.59,8.38,-4.255,-3.717,0.341,41,0.448,0.2499,0.5,False
9,QQQ,9965.88,-0.34,-3.31,2.97,-11.076,-8.325,0.475,40,0.448,0.2499,0.5,False
9,SPY,9961.08,-0.39,-2.61,2.22,-7.266,-5.386,0.525,40,0.448,0.2499,0.5,False
9,UNG,9964.89,-0.35,2.36,-2.71,-7.394,-5.448,0.475,40,0.448,0.2499,0.5,False
9,USO,10126.69,1.27,1.56,-0.29,5.07,6.337,0.488,41,0.448,0.2499,0.5,False
9,XBI,9959.21,-0.41,-0.7,0.29,-4.138,-3.962,0.475,40,0.448,0.2499,0.5,False
9,XLE,9972.71,-0.27,3.62,-3.89,-6.51,-4.181,0.425,40,0.448,0.2499,0.5,False
10,AAPL,10051.46,0.51,9.29,-8.78,6.901,11.46,0.526,38,0.4724,0.0755,0.5,False
10,ARKK,9960.76,-0.39,13.73,-14.13,-5.55,-4.565,0.475,40,0.4724,0.0755,0.5,False
10,GLD,9984.81,-0.15,-0.74,0.59,-2.546,-2.647,0.4,40,0.4724,0.0755,0.5,False
10,IWM,9982.38,-0.18,1.17,-1.34,-3.905,-3.254,0.525,40,0.4724,0.0755,0.5,False
10,KRE,10038.34,0.38,2.32,-1.94,2.849,2.334,0.55,40,0.4724,0.0755,0.5,False
10,NFLX,9979.4,-0.21,5.85,-6.06,-5.797,-5.691,0.425,40,0.4724,0.0755,0.5,False
10,NVDA,9914.65,-0.85,-1.37,0.52,-6.182,-5.219,0.429,42,0.4724,0.0755,0.5,False
10,PYPL,9965.17,-0.35,-5.88,5.53,-3.928,-3.269,0.5,40,0.4724,0.0755,0.5,False
10,QQQ,9975.82,-0.24,1.32,-1.56,-6.164,-6.081,0.375,40,0.4724,0.0755,0.5,False
10,SPY,9980.86,-0.19,1.18,-1.37,-11.233,-8.436,0.436,39,0.4724,0.0755,0.5,False
